Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,1,1,00:00,UTC,-1,27,-11.7,,-9.3,-14.2
2011,1,2,00:00,UTC,-1,28,-15.4,,-13.7,-18.2
2011,1,3,00:00,UTC,-1,27,-17.6,,-13.5,-21.5
2011,1,4,00:00,UTC,-1,28,-15.5,,-12.6,-21.5
2011,1,5,00:00,UTC,-1,28,-12.4,,-11.6,-14
2011,1,6,00:00,UTC,1.5,32,-10.8,,-9.8,-13.8
2011,1,7,00:00,UTC,5.4,34,-7.3,,-6.5,-10.2
2011,1,8,00:00,UTC,1.3,38,-5.8,,-1.9,-10.7
2011,1,9,00:00,UTC,8.7,39,-2,,-0.4,-7.8
2011,1,10,00:00,UTC,1,43,0.5,,0.7,-0.4
2011,1,11,00:00,UTC,4.5,42,-0.3,,0.7,-1
2011,1,12,00:00,UTC,1.9,46,-2.7,,-0.5,-4.2
2011,1,13,00:00,UTC,5.8,46,-4.9,,-4.2,-5.3
2011,1,14,00:00,UTC,-1,51,-11.2,,-4.4,-12.7
2011,1,15,00:00,UTC,-1,51,-15.9,,-12.4,-17.8
2011,1,16,00:00,UTC,2.6,49,-22,,-16.4,-31.5
2011,1,17,00:00,UTC,1.5,53,-9.4,,-8,-16.4
2011,1,18,00:00,UTC,2.5,54,-6.3,,-5.8,-8
2011,1,19,00:00,UTC,1.2,55,-5.6,,-4.7,-5.9
2011,1,20,00:00,UTC,0.2,55,-8.8,,,
2011,1,21,00:00,UTC,-1,55,-8.3,,-7.7,-10.9
2011,1,22,00:00,UTC,0.3,52,-6.7,,-5.1,-7.9
2011,1,23,00:00,UTC,-1,55,-15.5,,-7.2,-19.8
2011,1,24,00:00,UTC,6,54,-11.8,,-6.8,-25
2011,1,25,00:00,UTC,-1,59,-12.5,,-6,-15.4
2011,1,26,00:00,UTC,-1,58,-20.8,,-15.3,-23.6
2011,1,27,00:00,UTC,1.1,57,-16.7,,,
2011,1,28,00:00,UTC,0.2,58,-2.2,,0.1,-10.1
2011,1,29,00:00,UTC,4.4,56,-0.5,,0.7,-2.6
2011,1,30,00:00,UTC,-1,58,-9,,-0.7,-16.8
2011,1,31,00:00,UTC,2.1,56,-9.7,,-4,-21
2011,2,1,00:00,UTC,1.1,58,-4.5,,-1.9,-8.7
2011,2,2,00:00,UTC,4,58,-4.2,,-1.8,-10.8
2011,2,3,00:00,UTC,4.9,60,-3.2,,-1.8,-4.1
2011,2,4,00:00,UTC,2.1,65,-2.5,,0,-4.1
2011,2,5,00:00,UTC,-1,66,-8.4,,-4.1,-10.6
2011,2,6,00:00,UTC,1.4,64,-13.2,,-10.6,-14.3
2011,2,7,00:00,UTC,-1,69,-17.4,,-13.7,-21.5
2011,2,8,00:00,UTC,4.5,68,-8.8,,-5,-16.4
2011,2,9,00:00,UTC,0.8,71,-9.5,,-7,-10.2
2011,2,10,00:00,UTC,-1,72,-16.8,,-9.4,-18.8
2011,2,11,00:00,UTC,-1,70,-20.9,,-17.1,-25.9
2011,2,12,00:00,UTC,-1,69,-18.4,,-16.2,-21.1
2011,2,13,00:00,UTC,-1,69,-19.6,,-16.8,-21.2
2011,2,14,00:00,UTC,-1,68,-22.4,,-18,-27.2
2011,2,15,00:00,UTC,-1,68,-20.4,,-14.5,-25.7
2011,2,16,00:00,UTC,-1,67,-23.2,,-17.6,-25.6
2011,2,17,00:00,UTC,-1,67,-26.8,,-22,-30.3
2011,2,18,00:00,UTC,-1,66,-23.3,,-19.7,-29.5
2011,2,19,00:00,UTC,-1,66,-21.8,,-14.9,-28.7
2011,2,20,00:00,UTC,-1,66,-27.7,,-22.2,-32.5
2011,2,21,00:00,UTC,-1,66,-23.8,,-18.9,-30.4
2011,2,22,00:00,UTC,-1,66,-17.1,,-11.1,-20
2011,2,23,00:00,UTC,-1,66,-19.4,,-16.2,-21.4
2011,2,24,00:00,UTC,-1,66,-20.5,,-14.7,-24
2011,2,25,00:00,UTC,2.9,66,-18.2,,-13.6,-27.9
2011,2,26,00:00,UTC,6.8,69,-7.5,,-5.1,-14.4
2011,2,27,00:00,UTC,-1,71,-4.8,,-3.3,-6.2
2011,2,28,00:00,UTC,-1,70,-7.6,,-3.6,-8.7
2011,3,1,00:00,UTC,-1,70,-7.2,,-5.5,-13.2
2011,3,2,00:00,UTC,-1,69,-4.2,,-0.6,-9.5
2011,3,3,00:00,UTC,-1,68,-1.3,,2.8,-4.8
2011,3,4,00:00,UTC,-1,68,-2.7,,3.1,-10.3
2011,3,5,00:00,UTC,-1,68,-2.2,,0.7,-5.2
2011,3,6,00:00,UTC,-1,67,-6.1,,-2.4,-7.1
2011,3,7,00:00,UTC,-1,67,-9.3,,-2.4,-17.1
2011,3,8,00:00,UTC,-1,67,-2.5,,1.3,-9.3
2011,3,9,00:00,UTC,-1,66,-1.6,,1.7,-5.7
2011,3,10,00:00,UTC,0.5,66,0.2,,2.3,-1.3
2011,3,11,00:00,UTC,2.3,66,-1.4,,0.7,-2.8
2011,3,12,00:00,UTC,-1,67,-3.7,,0.5,-6.6
2011,3,13,00:00,UTC,-1,67,-4.9,,-1.3,-15.1
2011,3,14,00:00,UTC,4.7,67,-0.8,,0.5,-2.5
2011,3,15,00:00,UTC,-1,70,-3.6,,0.3,-5.9
2011,3,16,00:00,UTC,-1,70,-10.3,,-3.1,-18
2011,3,17,00:00,UTC,-1,70,-10.4,,-0.3,-18.5
2011,3,18,00:00,UTC,-1,69,-4.1,,4.1,-13.2
2011,3,19,00:00,UTC,-1,69,-1.2,,2.9,-5
2011,3,20,00:00,UTC,-1,69,-2,,3.5,-5.4
2011,3,21,00:00,UTC,1.9,69,-2.1,,2.9,-9.1
2011,3,22,00:00,UTC,0.3,69,2,,5.6,-0.7
2011,3,23,00:00,UTC,6,67,-1.6,,3.1,-4.8
2011,3,24,00:00,UTC,2.1,77,-5.2,,-2,-8.4
