Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,1,1,00:00,UTC,0.2,36,-10.4,,-9,-11.4
2011,1,2,00:00,UTC,1.6,34,-13.1,,-10.9,-16.4
2011,1,3,00:00,UTC,0.7,36,-14.3,,-12.8,-17.2
2011,1,4,00:00,UTC,0.4,36,-19.1,,-13.2,-22.3
2011,1,5,00:00,UTC,-1,38,-13.9,,-12.2,-21.4
2011,1,6,00:00,UTC,0.9,38,-10.1,,-8.5,-12.9
2011,1,7,00:00,UTC,5.3,39,-7.3,,-5.9,-8.6
2011,1,8,00:00,UTC,5.9,42,-5.6,,-1.9,-9.7
2011,1,9,00:00,UTC,7,46,-1.6,,0.4,-9.6
2011,1,10,00:00,UTC,1,46,0.5,,0.9,0.2
2011,1,11,00:00,UTC,2.9,45,-0.2,,1,-0.8
2011,1,12,00:00,UTC,1.3,49,-2.1,,-0.3,-3.3
2011,1,13,00:00,UTC,4.9,49,-4.5,,-3.2,-4.8
2011,1,14,00:00,UTC,0.8,51,-11.6,,-4.4,-12.7
2011,1,15,00:00,UTC,-1,51,-20.3,,-12.6,-24.8
2011,1,16,00:00,UTC,10.5,50,-21.4,,-16.1,-29
2011,1,17,00:00,UTC,1.7,60,-7.9,,-6.8,-16.1
2011,1,18,00:00,UTC,3.1,60,-5.5,,-4.1,-7.3
2011,1,19,00:00,UTC,1.4,62,-4.1,,-3.2,-5.2
2011,1,20,00:00,UTC,-1,61,-7.9,,-5.1,-9.4
2011,1,21,00:00,UTC,0.8,61,-9.7,,-7.7,-14.9
2011,1,22,00:00,UTC,2.1,60,-5.5,,-4.3,-7.7
2011,1,23,00:00,UTC,0.2,61,-9.6,,-6.9,-15.7
2011,1,24,00:00,UTC,8.6,60,-6.2,,-1.4,-11.7
2011,1,25,00:00,UTC,0.1,68,-12.4,,-1.4,-17.5
2011,1,26,00:00,UTC,0.2,67,-19.5,,-17.1,-21.4
2011,1,27,00:00,UTC,0.3,66,-12.2,,-6.3,-22
2011,1,28,00:00,UTC,0.6,65,0.1,,1.4,-6.3
2011,1,29,00:00,UTC,2.4,63,0.6,,1.7,0.1
2011,1,30,00:00,UTC,3.2,61,-8.6,,0.4,-15.1
2011,1,31,00:00,UTC,2.5,62,-6.5,,-3.4,-18.5
2011,2,1,00:00,UTC,2.9,62,-4.8,,-1.8,-10.5
2011,2,2,00:00,UTC,3,64,-3.2,,-0.1,-9.3
2011,2,3,00:00,UTC,11.6,65,-2.3,,-0.5,-3.6
2011,2,4,00:00,UTC,0.9,78,-2.9,,-0.4,-5.3
2011,2,5,00:00,UTC,0.4,77,-8.4,,-5.2,-10.6
2011,2,6,00:00,UTC,1.6,75,-14.5,,-10.6,-21.4
2011,2,7,00:00,UTC,-1,77,-15.6,,-11.7,-19.1
2011,2,8,00:00,UTC,1.8,76,-6.4,,-4.9,-16.1
2011,2,9,00:00,UTC,0.2,76,-9.2,,-4.3,-11.7
2011,2,10,00:00,UTC,-1,76,-16.7,,-11.6,-18.6
2011,2,11,00:00,UTC,0.8,74,-19.2,,-14.7,-24.8
2011,2,12,00:00,UTC,-1,75,-19.5,,-13.8,-23.6
2011,2,13,00:00,UTC,-1,74,-22.8,,-16.6,-27.9
2011,2,14,00:00,UTC,-1,74,-25.1,,-18.3,-32
2011,2,15,00:00,UTC,-1,73,-21.8,,-16.7,-24.1
2011,2,16,00:00,UTC,-1,73,-26.9,,-18.7,-31.9
2011,2,17,00:00,UTC,-1,73,-30.4,,-21,-35.6
2011,2,18,00:00,UTC,-1,72,-27.9,,-17.8,-33.9
2011,2,19,00:00,UTC,-1,72,-26.9,,-18,-32.7
