Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Ground minimum temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2011,1,1,00:00,UTC,0.5,25,-8.9,,-8,-10.9
2011,1,1,06:00,UTC,,,,,,
2011,1,2,00:00,UTC,0.5,25,-9.7,,-8,-13.9
2011,1,2,06:00,UTC,,,,,,
2011,1,3,00:00,UTC,-1,25,-13.7,,-9.4,-17.4
2011,1,3,06:00,UTC,,,,,,
2011,1,4,00:00,UTC,-1,24,-18.2,,-15.1,-20
2011,1,4,06:00,UTC,,,,,,
2011,1,5,00:00,UTC,-1,25,-18.2,,-16.2,-22.2
2011,1,5,06:00,UTC,,,,,,
2011,1,6,00:00,UTC,1.7,24,-12.3,,-10.2,-16.2
2011,1,6,06:00,UTC,,,,,,
2011,1,7,00:00,UTC,4.4,26,-7.1,,-6.3,-10.5
2011,1,7,06:00,UTC,,,,,,
2011,1,8,00:00,UTC,1.4,31,-7.4,,-4.4,-9.2
2011,1,8,06:00,UTC,,,,,,
2011,1,9,00:00,UTC,2.9,32,-3.3,,-0.2,-9.6
2011,1,9,06:00,UTC,,,,,,
2011,1,10,00:00,UTC,4.9,33,-0.4,,1,-2.7
2011,1,10,06:00,UTC,,,,,,
2011,1,11,00:00,UTC,-1,39,-2.6,,0.2,-4
2011,1,11,06:00,UTC,,,,,,
2011,1,12,00:00,UTC,1.6,37,-7.3,,-2.2,-12.8
2011,1,12,06:00,UTC,,,,,,
2011,1,13,00:00,UTC,0.6,37,-6.2,,-3.9,-7.4
2011,1,13,06:00,UTC,,,,,,
2011,1,14,00:00,UTC,-1,36,-13.2,,-7.4,-14.5
2011,1,14,06:00,UTC,,,,,,
2011,1,15,00:00,UTC,-1,36,-24.2,,-14.4,-26.8
2011,1,15,06:00,UTC,,,,,,
2011,1,16,00:00,UTC,7.6,35,-15.4,,-10.3,-24.6
2011,1,16,06:00,UTC,,,,,,
2011,1,17,00:00,UTC,0.2,41,-7,,-5.5,-10.7
2011,1,17,06:00,UTC,,,,,,
2011,1,18,00:00,UTC,-1,40,-4.6,,-4.1,-5.5
2011,1,18,06:00,UTC,,,,,,
2011,1,19,00:00,UTC,0.2,39,-4.3,,-4,-4.5
2011,1,19,06:00,UTC,,,,,,
2011,1,20,00:00,UTC,-1,38,-6.2,,-4.4,-6.5
2011,1,20,06:00,UTC,,,,,,
2011,1,21,00:00,UTC,5.1,37,-8.3,,-6.3,-11.8
2011,1,21,06:00,UTC,,,,,,
2011,1,22,00:00,UTC,-1,42,-8,,-4.8,-11.3
2011,1,22,06:00,UTC,,,,,,
2011,1,23,00:00,UTC,4.3,41,-10.7,,-9.5,-12
2011,1,23,06:00,UTC,,,,,,
2011,1,24,00:00,UTC,1.2,45,-7.2,,-4.1,-9.5
2011,1,24,06:00,UTC,,,,,,
2011,1,25,00:00,UTC,-1,44,-20.1,,-8.1,-24.1
2011,1,25,06:00,UTC,,,,,,
2011,1,26,00:00,UTC,-1,44,-20.1,,-15.9,-25.6
2011,1,26,06:00,UTC,,,,,,
